token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR009	0	allora	allora	linguistic	_	Begin=1.98	_	_	_	_
0-1	BOR009	0	lei	lei	linguistic	_	_	_	_	_	_
0-2	BOR009	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-3	BOR009	0	è	è	linguistic	_	_	_	_	_	_
0-4	BOR009	0	di	di	linguistic	_	_	_	_	_	_
0-5	BOR009	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-6	BOR009	0	casalecchio	casalecchio	linguistic	_	_	_	_	_	_
0-7	BOR009	0	ha	ha	linguistic	_	_	_	_	_	_
0-8	BOR009	0	d[etto]	detto	linguistic	_	End=5.034	_	_	_	1-5(0)
1-0	BOI042	1	[sì]	sì	linguistic	_	Begin=4.66|End=5.061	_	_	_	0-2(0)
2-0	BOR009	2	>quindi<	quindi	linguistic	_	Begin=5.1	_	Fast=0-6	_	_
2-1	BOR009	2	ha	ha	linguistic	_	_	_	_	_	_
2-2	BOR009	2	sempre	sempre	linguistic	_	_	_	_	_	_
2-3	BOR009	2	vissuto:	vissuto	linguistic	_	_	6x1	_	_	_
2-4	BOR009	2	viss[uto	vissuto	linguistic	_	_	_	_	_	4-7(1)
2-5	BOR009	2	lì]?	lì	linguistic	Intonation=Rising	End=7.264	_	_	_	0-2(1)
3-0	BOI042	3	[°no°	no	linguistic	Volume=Low	Begin=6.9	_	_	_	0-2(1)
3-1	BOI042	3	io	io	linguistic	_	_	_	_	_	0-2(1)
3-2	BOI042	3	so]no	sono	linguistic	_	_	_	_	_	0-2(1)
3-3	BOI042	3	nato	nato	linguistic	_	_	_	_	_	_
3-4	BOI042	3	a	a	linguistic	_	_	_	_	_	_
3-5	BOI042	3	marzabotto	marzabotto	linguistic	_	_	_	_	_	_
3-6	BOI042	3	e	e	linguistic	_	_	_	_	_	_
3-7	BOI042	3	sono	sono	linguistic	_	_	_	_	_	_
3-8	BOI042	3	andato	andato	linguistic	_	_	_	_	_	_
3-9	BOI042	3	(a)	a	linguistic	_	_	_	_	0-1(0)	_
3-10	BOI042	3	abitare	abitare	linguistic	_	_	_	_	_	_
3-11	BOI042	3	da	da	linguistic	_	_	_	_	_	_
3-12	BOI042	3	marzabotto	marzabotto	linguistic	_	_	_	_	_	_
3-13	BOI042	3	mi	mi	linguistic	_	_	_	_	_	_
3-14	BOI042	3	son	son	linguistic	_	_	_	_	_	_
3-15	BOI042	3	trasferito	trasferito	linguistic	_	_	_	_	_	_
3-16	BOI042	3	su	su	linguistic	_	_	_	_	_	_
3-17	BOI042	3	da	da	linguistic	_	_	_	_	_	_
3-18	BOI042	3	piccolino	piccolino	linguistic	_	_	_	_	_	_
3-19	BOI042	3	a	a	linguistic	_	_	_	_	_	_
3-20	BOI042	3	gaibola	gaibola	linguistic	_	End=12.991	_	_	_	_
4-0	BOI042	4	°su°	su	linguistic	Volume=Low	Begin=13.787	_	_	_	_
4-1	BOI042	4	fuori	fuori	linguistic	_	_	_	_	_	_
4-2	BOI042	4	bologna	bologna	linguistic	_	_	_	_	_	_
4-3	BOI042	4	sui	sui	linguistic	_	_	_	_	_	_
4-4	BOI042	4	[colli	colli	linguistic	_	_	_	_	_	0-5(2)
4-5	BOI042	4	di]	di	linguistic	_	_	_	_	_	0-2(2)
4-6	BOI042	4	gaibola	gaibola	linguistic	_	End=16.415	_	_	_	_
5-0	BOR009	5	[°okay°]	okay	linguistic	Volume=Low	Begin=14.84|End=15.468	_	_	_	0-4(2)
6-0	BOI042	6	poi	poi	linguistic	_	Begin=16.705	_	_	_	_
6-1	BOI042	6	son	son	linguistic	_	_	_	_	_	_
6-2	BOI042	6	andato	andato	linguistic	_	_	_	_	_	_
6-3	BOI042	6	a	a	linguistic	_	_	_	_	_	_
6-4	BOI042	6	abitare	abitare	linguistic	_	_	_	_	_	_
6-5	BOI042	6	a	a	linguistic	_	_	_	_	_	_
6-6	BOI042	6	casalecchio:	casalecchio	linguistic	_	_	10x1	_	_	_
6-7	BOI042	6	e	e	linguistic	_	_	_	_	_	_
6-8	BOI042	6	fino	fino	linguistic	_	_	_	_	_	_
6-9	BOI042	6	a	a	linguistic	_	_	_	_	_	_
6-10	BOI042	6	diciamo	diciamo	linguistic	_	_	_	_	_	_
6-11	BOI042	6	così	così	linguistic	_	End=20.912	_	_	_	_
7-0	BOI042	7	adesso	adesso	linguistic	_	Begin=21.45	_	_	_	_
7-1	BOI042	7	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
7-2	BOI042	7	ho	ho	linguistic	_	_	_	_	_	_
7-3	BOI042	7	cambiato	cambiato	linguistic	_	_	_	_	_	_
7-4	BOI042	7	xxx	x	unknown	_	_	_	_	_	_
7-5	BOI042	7	residenza	residenza	linguistic	_	_	_	_	_	_
7-6	BOI042	7	a	a	linguistic	_	_	_	_	_	_
7-7	BOI042	7	casalecchio	casalecchio	linguistic	_	_	_	_	_	_
7-8	BOI042	7	ma	ma	linguistic	_	_	_	_	_	_
7-9	BOI042	7	abito	abito	linguistic	_	_	_	_	_	_
7-10	BOI042	7	ancora	ancora	linguistic	_	_	_	_	_	_
