token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR034	0	okay	okay	linguistic	_	Begin=0.876	_	_	_	_
0-1	BOR034	0	allora	allora	linguistic	_	End=1.735	_	_	_	_
1-0	BOR034	1	per	per	linguistic	_	Begin=2.494	_	_	_	_
1-1	BOR034	1	iniziare	iniziare	linguistic	_	_	_	_	_	_
1-2	BOR034	1	ti:	ti	linguistic	_	_	1x1	_	_	_
1-3	BOR034	1	ringrazio,	ringrazio	linguistic	Intonation=WeaklyRising	_	_	_	_	_
1-4	BOR034	1	a	a	linguistic	_	_	_	_	_	_
1-5	BOR034	1	favore	favore	linguistic	_	_	_	_	_	_
1-6	BOR034	1	di	di	linguistic	_	_	_	_	_	_
1-7	BOR034	1	microfono	microfono	linguistic	_	_	_	_	_	_
1-8	BOR034	1	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
1-9	BOR034	1	per	per	linguistic	_	_	_	_	_	_
1-10	BOR034	1	ave:r	aver	linguistic	_	_	2x1	_	_	_
1-11	BOR034	1	aderito	aderito	linguistic	_	_	_	_	_	_
1-12	BOR034	1	al	al	linguistic	_	_	_	_	_	_
1-13	BOR034	1	progetto	progetto	linguistic	_	End=7.81	_	_	_	_
2-0	BOR034	2	in	in	linguistic	_	Begin=8.941	_	_	_	_
2-1	BOR034	2	nome:	nome	linguistic	_	_	3x1	_	_	_
2-2	BOR034	2	non	non	linguistic	_	_	_	_	_	_
2-3	BOR034	2	solo	solo	linguistic	_	_	_	_	_	_
2-4	BOR034	2	mio	mio	linguistic	_	_	_	_	_	_
2-5	BOR034	2	ma	ma	linguistic	_	_	_	_	_	_
2-6	BOR034	2	anche	anche	linguistic	_	_	_	_	_	_
2-7	BOR034	2	della:	della	linguistic	_	End=11.306	4x1	_	_	_
3-0	BOR034	3	della	della	linguistic	_	Begin=12.007	_	_	_	_
3-1	BOR034	3	facoltà	facoltà	linguistic	_	End=12.762	_	_	_	_
4-0	BOR034	4	e:	e	linguistic	_	Begin=14.233	0x1	_	_	_
4-1	BOR034	4	m:h	mh	linguistic	_	End=15.357	0x1	_	_	_
5-0	BOR034	5	allora	allora	linguistic	_	Begin=15.639	_	_	_	_
5-1	BOR034	5	iniziamo	iniziamo	linguistic	_	_	_	_	_	_
