token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOI002	0	conosci	conosci	linguistic	_	Begin=1.01	_	_	_	_
0-1	TOI002	0	dialetti	dialetti	linguistic	_	_	_	_	_	_
0-2	TOI002	0	o	o	linguistic	_	_	_	_	_	_
0-3	TOI002	0	altre	altre	linguistic	_	_	_	_	_	_
0-4	TOI002	0	lingue,	lingue	linguistic	Intonation=WeaklyRising	End=2.922	_	_	_	_
1-0	TOI002	1	no.	no	linguistic	Intonation=Falling	Begin=5.13|End=5.646	_	_	_	_
2-0	TOI002	2	°parlo	parlo	linguistic	Volume=Low	Begin=6.518	_	_	_	_
2-1	TOI002	2	a	a	linguistic	Volume=Low	_	_	_	_	_
2-2	TOI002	2	malapena	malapena	linguistic	Volume=Low	_	_	_	_	_
2-3	TOI002	2	l'	l'	linguistic	SpaceAfter=No|Volume=Low	_	_	_	_	_
2-4	TOI002	2	italiano°	italiano	linguistic	Volume=Low	End=8.151	_	_	_	_
3-0	TOR001	3	°allo:ra°	allora	linguistic	Volume=Low	Begin=8.464|End=9.137	3x1	_	_	_
4-0	TOI003	4	non	non	linguistic	_	Begin=9.93	_	_	_	_
4-1	TOI003	4	conosco	conosco	linguistic	_	_	_	_	_	_
4-2	TOI003	4	neanche	neanche	linguistic	_	_	_	_	_	_
4-3	TOI003	4	il	il	linguistic	_	_	_	_	_	_
4-4	TOI003	4	mio	mio	linguistic	_	_	_	_	_	_
4-5	TOI003	4	di	di	linguistic	_	_	_	_	_	_
4-6	TOI003	4	dialetto	dialetto	linguistic	_	_	_	_	_	_
4-7	TOI003	4	((ride))	((ride))	nonverbalbehavior	_	End=12.058	_	_	_	_
5-0	TOI003	5	o	o	linguistic	_	Begin=13.354	_	_	_	_
5-1	TOI003	5	altre	altre	linguistic	_	_	_	_	_	_
5-2	TOI003	5	lingue	lingue	linguistic	_	End=14.474	_	_	_	_
6-0	TOI002	6	città	città	linguistic	_	Begin=15.264	_	_	_	_
6-1	TOI002	6	di	di	linguistic	_	_	_	_	_	_
6-2	TOI002	6	nascita	nascita	linguistic	_	_	_	_	_	_
6-3	TOI002	6	del	del	linguistic	_	_	_	_	_	_
6-4	TOI002	6	pa:dre,	padre	linguistic	Intonation=WeaklyRising	End=16.656	1x1	_	_	_
7-0	TOI002	7	(questa	questa	linguistic	_	Begin=17.31	_	_	0-6(0)	_
7-1	TOI002	7	è)	è	linguistic	_	_	_	_	0-1(0)	_
7-2	TOI002	7	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
7-3	TOI002	7	una	una	linguistic	_	_	_	_	_	_
7-4	TOI002	7	domanda	domanda	linguistic	_	_	_	_	_	_
7-5	TOI002	7	un	un	linguistic	_	_	_	_	_	_
7-6	TOI002	7	po'	po'	linguistic	_	_	_	_	_	_
7-7	TOI002	7	infame	infame	linguistic	_	End=18.886	_	_	_	_
8-0	TOI003	8	io	io	linguistic	_	Begin=19.578	_	_	_	_
8-1	TOI003	8	metto	metto	linguistic	_	_	_	_	_	_
8-2	TOI003	8	sì.	sì	linguistic	Intonation=Falling	End=20.34	_	_	_	_
9-0	TOR001	9	((ride))	((ride))	nonverbalbehavior	_	Begin=21.199|End=22.118	_	_	_	_
10-0	TOI002	10	ma	ma	linguistic	_	Begin=22.628	_	_	_	_
10-1	TOI002	10	che	che	linguistic	_	_	_	_	_	_
10-2	TOI002	10	co:sa?	cosa	linguistic	Intonation=Rising	End=23.289	1x1	_	_	_
11-0	TOI003	11	conosci	conosci	linguistic	_	Begin=24.078	_	_	_	_
11-1	TOI003	11	dialetti	dialetti	linguistic	_	_	_	_	_	_
11-2	TOI003	11	italiani	italiani	linguistic	_	_	_	_	_	_
11-3	TOI003	11	xx	x	unknown	_	_	_	_	_	_
11-4	TOI003	11	altre	altre	linguistic	_	_	_	_	_	_
11-5	TOI003	11	[lingue]	lingue	linguistic	_	End=26.32	_	_	_	0-6(0)
12-0	TOI002	12	[che]	che	linguistic	_	Begin=25.989	_	_	_	0-3(0)
12-1	TOI002	12	lingue	lingue	linguistic	_	_	_	_	_	_
12-2	TOI002	12	cono:sci?	conosci	linguistic	Intonation=Rising	End=27.097	3x1	_	_	_
13-0	TOI003	13	eh?	eh	linguistic	Intonation=Rising	Begin=27.103|End=27.476	_	_	_	_
14-0	TOI002	14	che	che	linguistic	_	Begin=27.476	_	_	_	_
14-1	TOI002	14	lingue	lingue	linguistic	_	_	_	_	_	_
14-2	TOI002	14	conosci?	conosci	linguistic	Intonation=Rising	End=28.532	_	_	_	_
15-0	TOI003	15	vabbè	vabbè	linguistic	_	Begin=28.563	_	_	_	_
15-1	TOI003	15	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
15-2	TOI003	15	inglese	inglese	linguistic	_	_	_	_	_	_
15-3	TOI003	15	quando	quando	linguistic	_	_	_	_	_	_
15-4	TOI003	15	vado	vado	linguistic	_	_	_	_	_	_
15-5	TOI003	15	all'	all'	linguistic	SpaceAfter=No	_	_	_	_	_
15-6	TOI003	15	estero	estero	linguistic	_	_	_	_	_	_
15-7	TOI003	15	parlo	parlo	linguistic	_	_	_	_	_	4-5(1)
15-8	TOI003	15	[eh	eh	linguistic	_	_	_	_	_	0-2(1)
15-9	TOI003	15	(.)	[PAUSE]	shortpause	_	_	_	_	_	0-3(1)
15-10	TOI003	15	mi	mi	linguistic	_	_	_	_	_	0-2(1)
15-11	TOI003	15	faccio	faccio	linguistic	_	_	_	_	_	0-6(1)
15-12	TOI003	15	capi]re	capire	linguistic	_	End=32.479	_	_	_	0-3(1)
16-0	TOI002	16	[ma	ma	linguistic	_	Begin=30.816	_	_	_	0-2(1)
16-1	TOI002	16	vaff(anculo)]	vaffanculo	linguistic	_	_	_	_	4-10(0)	0-10(1)
16-2	TOI002	16	((ride))	((ride))	nonverbalbehavior	_	End=32.049	_	_	_	_
17-0	TOR001	17	((ride))	((ride))	nonverbalbehavior	_	Begin=31.436|End=39.064	_	_	_	_
18-0	TOI002	18	anch'	anch'	linguistic	SpaceAfter=No	Begin=32.496	_	_	_	_
18-1	TOI002	18	io	io	linguistic	_	_	_	_	_	_
18-2	TOI002	18	mi	mi	linguistic	_	_	_	_	_	_
18-3	TOI002	18	faccio	faccio	linguistic	_	_	_	_	_	_
18-4	TOI002	18	capire	capire	linguistic	_	_	_	_	_	_
18-5	TOI002	18	[cazzo	cazzo	linguistic	_	_	_	_	_	0-5(2)
18-6	TOI002	18	vuol	vuol	linguistic	_	_	_	_	_	0-4(2)
18-7	TOI002	18	dire	dire	linguistic	_	_	_	_	_	0-4(2)
18-8	TOI002	18	xxx]xx	x	unknown	_	End=35.719	_	_	_	0-3(2)
19-0	TOI003	19	[eh	eh	linguistic	_	Begin=33.623	_	_	_	0-2(2)
19-1	TOI003	19	sì	sì	linguistic	_	_	_	_	_	0-2(2)
19-2	TOI003	19	(per	per	linguistic	_	_	_	_	0-3(0)	0-3(2)
19-3	TOI003	19	gesti)]	gesti	linguistic	_	End=35.277	_	_	0-5(0)	0-5(2)
20-0	TOR001	20	e:h	eh	linguistic	_	Begin=44.954	0x1	_	_	_
20-1	TOR001	20	qua[ttro],	quattro	linguistic	Intonation=WeaklyRising	End=45.987	_	_	_	3-7(3)
21-0	TOR002	21	[tre	tre	linguistic	_	Begin=45.33	_	_	_	0-3(?)
21-1	TOR002	21	quattro]	quattro	linguistic	_	End=46.4	_	_	_	0-7(?)
22-0	TOR003	22	[qua]ttro	quattro	linguistic	_	Begin=46.035|End=46.653	_	_	_	0-3(4)
23-0	TOI002	23	°(siamo	siamo	linguistic	Volume=Low	Begin=47.872	_	_	0-5(0)	_
23-1	TOI002	23	nel)	nel	linguistic	Volume=Low	_	_	_	0-3(0)	_
23-2	TOI002	23	duemiladiciotto°	duemiladiciotto	linguistic	Volume=Low	End=50.194	_	_	_	_
24-0	TOR002	24	°puoi	puoi	linguistic	Volume=Low	Begin=55.574	_	_	_	_
24-1	TOR002	24	mica	mica	linguistic	Volume=Low	_	_	_	_	_
24-2	TOR002	24	spegnere	spegnere	linguistic	Volume=Low	_	_	_	_	_
24-3	TOR002	24	quella	quella	linguistic	Volume=Low	_	_	_	_	_
24-4	TOR002	24	luce	luce	linguistic	Volume=Low	_	_	_	_	_
24-5	TOR002	24	lì?°	lì	linguistic	Intonation=Rising|Volume=Low	End=57.203	_	_	_	_
25-0	TOR001	25	ma	ma	linguistic	_	Begin=57.228	_	_	_	_
25-1	TOR001	25	ba:sta	basta	linguistic	_	_	1x1	_	_	_
25-2	TOR001	25	con	con	linguistic	_	_	_	_	_	_
25-3	TOR001	25	ste	ste	linguistic	_	_	_	_	_	_
25-4	TOR001	25	lu:ci	luci	linguistic	_	_	1x1	_	_	_
