token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR002	0	sì	sì	linguistic	_	Begin=0.0	_	_	_	_
0-1	TOR002	0	che	che	linguistic	_	_	_	_	_	_
0-2	TOR002	0	un	un	linguistic	_	_	_	_	_	_
0-3	TOR002	0	po'	po'	linguistic	_	_	_	_	_	_
0-4	TOR002	0	di	di	linguistic	_	_	_	_	_	_
0-5	TOR002	0	dol[cezza	dolcezza	linguistic	_	_	_	_	_	3-8(0)
0-6	TOR002	0	non	non	linguistic	_	_	_	_	_	0-3(0)
0-7	TOR002	0	fa	fa	linguistic	_	_	_	_	_	0-2(0)
0-8	TOR002	0	mai	mai	linguistic	_	_	_	_	_	0-3(0)
0-9	TOR002	0	male]	male	linguistic	_	End=2.406	_	_	_	0-4(0)
1-0	TOI118	1	[no	no	linguistic	_	Begin=0.811	_	_	_	0-2(0)
1-1	TOI118	1	perché	perché	linguistic	_	_	_	_	_	0-6(0)
1-2	TOI118	1	poi	poi	linguistic	_	_	_	_	_	0-3(0)
1-3	TOI118	1	n~	n~	linguistic	Interrupted=Yes	_	_	_	_	0-2(0)
1-4	TOI118	1	non	non	linguistic	_	_	_	_	_	0-3(0)
1-5	TOI118	1	ce	ce	linguistic	_	_	_	_	_	0-2(0)
1-6	TOI118	1	n'	n'	linguistic	SpaceAfter=No	_	_	_	_	0-2(0)
1-7	TOI118	1	é	é	linguistic	_	_	_	_	_	0-1(0)
1-8	TOI118	1	più]	più	linguistic	_	End=2.406	_	_	_	0-3(0)
2-0	TOI119	2	((ride))	((ride))	nonverbalbehavior	_	Begin=2.754|End=3.636	_	_	_	_
3-0	TOI118	3	questo	questo	linguistic	_	Begin=3.197	_	_	_	_
3-1	TOI118	3	qua	qua	linguistic	_	_	_	_	_	_
3-2	TOI118	3	lì	lì	linguistic	_	_	_	_	_	_
3-3	TOI118	3	mangi	mangi	linguistic	_	_	_	_	_	_
3-4	TOI118	3	tutti	tutti	linguistic	_	_	_	_	_	_
3-5	TOI118	3	gianna	gianna	linguistic	_	_	_	_	_	_
3-6	TOI118	3	altro	altro	linguistic	_	_	_	_	_	_
3-7	TOI118	3	che	che	linguistic	_	End=5.361	_	_	_	_
4-0	TOR002	4	((ride))	((ride))	nonverbalbehavior	_	Begin=3.616|End=4.627	_	_	_	_
5-0	TOI119	5	((ride))	((ride))	nonverbalbehavior	_	Begin=5.39|End=6.618	_	_	_	_
6-0	TOI118	6	#alura	alura	linguistic	_	Begin=5.906|End=6.488	_	_	_	_
7-0	TOR002	7	#l'	l'	linguistic	SpaceAfter=No	Begin=6.616	_	_	_	_
7-1	TOR002	7	a	a	linguistic	_	_	_	_	_	_
7-2	TOR002	7	dime	dime	linguistic	_	_	_	_	_	_
7-3	TOR002	7	che	che	linguistic	_	_	_	_	_	_
7-4	TOR002	7	sun	sun	linguistic	_	_	_	_	_	_
7-5	TOR002	7	gras	gras	linguistic	_	_	_	_	_	_
7-6	TOR002	7	mi	mi	linguistic	_	_	_	_	_	_
7-7	TOR002	7	ha	ha	linguistic	_	_	_	_	_	_
7-8	TOR002	7	detto	detto	linguistic	_	_	_	_	_	_
7-9	TOR002	7	che	che	linguistic	_	_	_	_	_	_
7-10	TOR002	7	sono	sono	linguistic	_	_	_	_	_	_
7-11	TOR002	7	grasso	grasso	linguistic	_	End=9.395	_	_	_	_
8-0	TOI119	8	e	e	linguistic	_	Begin=9.395	_	_	_	_
8-1	TOI119	8	l[ui]?	lui	linguistic	Intonation=Rising	End=9.813	_	_	_	1-3(1)
